"DIPLOMAJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","SOORT_DIPLOMA","GESLACHT","AANTAL_GEDIPLOMEERDEN"
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo master","MAN",5
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo master","VROUW",-1
"2019","Friesland","0093","Terschelling","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo bachelor","MAN",78
"2019","Friesland","0093","Terschelling","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VROUW",5
"2019","Friesland","0093","Terschelling","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo master","MAN",-1
"2019","Gelderland","0200","Apeldoorn","reguliere inst.","23AH","Saxion Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","MAN",72
"2019","Gelderland","0200","Apeldoorn","reguliere inst.","23AH","Saxion Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","VROUW",93
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo associate degree","MAN",53
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo associate degree","VROUW",32
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo bachelor","MAN",369
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo bachelor","VROUW",315
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo master","MAN",17
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo master","VROUW",6
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","leraar basisonderwijs","hbo bachelor","MAN",20
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VROUW",39
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo associate degree","MAN",32
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo associate degree","VROUW",-1
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo bachelor","MAN",649
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VROUW",117
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo master","MAN",47
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo master","VROUW",-1
"2019","Gelderland","0202","Arnhem","reguliere inst.","27NF","ArtEZ","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","hbo bachelor","MAN",10
"2019","Gelderland","0202","Arnhem","reguliere inst.","27NF","ArtEZ","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","hbo bachelor","VROUW",57
"2019","Gelderland","0202","Arnhem","reguliere inst.","27NF","ArtEZ","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","hbo bachelor","MAN",41
"2019","Gelderland","0202","Arnhem","reguliere inst.","27NF","ArtEZ","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","hbo bachelor","VROUW",55
"2019","Gelderland","0202","Arnhem","reguliere inst.","27NF","ArtEZ","TAAL_EN_CULTUUR","opleidingen voortgezette bouwkunst","hbo master","MAN",-1
"2019","Gelderland","0202","Arnhem","reguliere inst.","27NF","ArtEZ","TAAL_EN_CULTUUR","opleidingen voortgezette bouwkunst","hbo master","VROUW",-1
"2019","Gelderland","0202","Arnhem","reguliere inst.","27NF","ArtEZ","TAAL_EN_CULTUUR","voortgezette kunstopleidingen","hbo master","MAN",27
"2019","Gelderland","0202","Arnhem","reguliere inst.","27NF","ArtEZ","TAAL_EN_CULTUUR","voortgezette kunstopleidingen","hbo master","VROUW",52
"2019","Gelderland","0222","Doetinchem","reguliere inst.","09OT","Iselinge Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","MAN",21
"2019","Gelderland","0222","Doetinchem","reguliere inst.","09OT","Iselinge Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VROUW",55
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","hbo associate degree","MAN",-1
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","hbo associate degree","VROUW",-1
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","hbo bachelor","MAN",73
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","hbo bachelor","VROUW",73
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo associate degree","MAN",13
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo associate degree","VROUW",27
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","MAN",52
