"DIPLOMAJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","OPLEIDINGSCODE_ACTUEEL","OPLEIDINGSNAAM_ACTUEEL","SOORT_DIPLOMA","AANTAL_GEDIPLOMEERDEN"
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35523","B Ondernemerschap & Retail Management","hbo bachelor",65
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35524","B Tourism Management","hbo bachelor",91
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","39205","B HBO - Rechten","hbo bachelor",58
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","39268","B Integrale Veiligheidskunde","hbo bachelor",102
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","45284","M Content & Media Strategy","hbo master",30
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","49135","M International Leisure, Tourism & Events Management","hbo master",49
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80009","Ad Tourism Management","hbo associate degree",12
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80010","Ad Ondernemerschap & Retail Management","hbo associate degree",54
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80040","Ad Leisure & Events Management","hbo associate degree",12
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80041","Ad Hotel Management","hbo associate degree",30
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80065","Ad Finance & Control","hbo associate degree",19
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80073","Ad Human Resource Management","hbo associate degree",30
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80150","Ad Online Contentcreator","hbo associate degree",6
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80151","Ad Creative Media Professional","hbo associate degree",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","34116","B Social Work","hbo bachelor",254
