"DIPLOMAJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","SOORT_DIPLOMA","OPLEIDINGSVORM","AANTAL_GEDIPLOMEERDEN"
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","DU",11
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","VT",905
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo master","DT",12
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo associate degree","DT",31
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo associate degree","DU",-1
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","DT",202
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","DU",-1
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","VT",787
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo master","DT",15
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo master","DU",102
